f,f,v,v,θ,θ,ð,ð,s,s,z,z,-s words,-s words,ʃ,ʃ,ʒ,ʒ,tʃ,tʃ,dʒ,dʒ,h,h
cough,/kɑːf/,solve,/sɑːlv/,,,,,purpose,/ˈpɝː.pəs/,,,teaches,/tiːtʃɪz/,intuition,/ˌɪn.tuːˈɪʃ.ən/,,,character,/ˈker.ək.tɚ/,image,/ˈɪm.ɪdʒ/,fought,/fɑːt/
enough,/əˈnʌf/,stove,/stoʊv/,,,,,twice,/twaɪs/,,,notices,/ˈnoʊtɪsɪz/,location,/loʊˈkeɪ.ʃən/,,,technique,/tekˈniːk/,lounge,/laʊndʒ/,honest,/ˈɑː.nɪst/
golf,/ɡɑːlf/,wave,/weɪv/,,,,,us,/ʌs/,,,boxes,/bɑːksɪz/,patient,/ˈpeɪ.ʃənt/,,,stomach,/ˈstʌm.ək/,page,/peɪdʒ/,eight,/eɪt/
graph,/ɡræf/,"volunteer ",/ˌvɑlənˈtɪr/,,,,,,,,,gives,/ɡɪvz/,tradition,/trəˈdɪʃ.ən/,,,orchestra,/ˈɔːr.kə.strə/,stage,/steɪdʒ/,weigh,/weɪ/
knife,/naɪf/,"individual ",/ˌɪn.dəˈvɪdʒ.u.əl/,,,,,,,,,,,,,,,chicago,/ʃɪˈkɑ.ɡoʊ/,,,honor,/ˈɑː.nɚ/
leaf,/liːf/,,,,,,,,,,,,,,,,,psychology,/saɪˈkɑː.lə.dʒi/,,,light,/laɪt/
life,/laɪf/,,,,,,,,,,,,,,,,,headache,/ˈhed.eɪk/,,,hour,/aʊr/
puff,/pʌf/,,,,,,,,,,,,,,,,,technical,/ˈtek.nɪ.kəl/,,,,
rough,/rʌf/,,,,,,,,,,,,,,,,,chef,/ʃef/,,,,
scarf,/skɑːrf/,,,,,,,,,,,,,,,,,,,,,,
self,/self/,,,,,,,,,,,,,,,,,,,,,,
shelf,/ʃelf/,,,,,,,,,,,,,,,,,,,,,,
staff,/stæf/,,,,,,,,,,,,,,,,,,,,,,
stiff,/stɪf/,,,,,,,,,,,,,,,,,,,,,,
tough,/tʌf/,,,,,,,,,,,,,,,,,,,,,,
wolf,/wʊlf/,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
